experimento,arquitectura,embedding_dim,hidden_dim,num_layers,dropout,lr,weight_decay,mejor_epoca,mejor_val_loss,mejor_val_acc
exp_bilstm_dim256_drop0.3,bilstm,256,256,1,0.3,0.0003,0.0001,5,0.7169519739273267,0.7081457224723701
exp_bigru_pool_dim256_drop0.3,bigru_pool,256,256,1,0.3,0.0003,0.0001,3,0.7094187155748025,0.7065083913221449
exp_bigru_pool_dim128_drop0.3,bigru_pool,128,128,1,0.3,0.0005,0.0001,5,0.728708627132269,0.7040523945968072
exp_bigru_pool_dim128_drop0.5,bigru_pool,128,128,1,0.5,0.0005,0.0001,5,0.731206585199405,0.697912402783463
exp_bigru_dim256_drop0.3,bigru_base,256,256,1,0.3,0.0003,0.0001,4,0.7354840300022027,0.6938190749079001
exp_bilstm_2layers_dim128_drop0.3,bilstm,128,128,2,0.3,0.0005,0.0001,5,0.8785727161627549,0.6913630781825624
exp_bigru_dim128_drop0.5,bigru_base,128,128,1,0.5,0.0005,0.0001,5,0.7605837889206715,0.6831764224314367
exp_bigru_pool_2layers_dim128_drop0.3,bigru_pool,128,128,2,0.3,0.0005,0.0001,3,0.775520954376612,0.6762177650429799
exp_bigru_dim128_drop0.3,bigru_base,128,128,1,0.3,0.0005,0.0001,4,0.7685295801896316,0.667621776504298
exp_bilstm_dim128_drop0.5,bilstm,128,128,1,0.5,0.0005,0.0001,5,0.8611889343995315,0.66189111747851
exp_bigru_2layers_dim128_drop0.3,bigru_base,128,128,2,0.3,0.0005,0.0001,3,0.7995485632847517,0.6598444535407286
exp_bilstm_dim128_drop0.3,bilstm,128,128,1,0.3,0.0005,0.0001,4,0.858729824041709,0.6377404830126893
